model,sigma0,t,w,maxForce,meanForce,Damage,Plasticity
16.0,205.99373327161717,4.961850610500553,62.287621361769496,146.9515,77.50674697211575,0.0385003150599,0.711216131065
17.0,210.7048792138541,2.8458938033210193,79.86522267200947,179.155734375,80.83772088288983,0.0370733987845,0.680738662927
18.0,199.4823099122967,1.5270656909682216,87.89144746617092,186.104859375,82.07846487016754,0.0365217391304,0.714285714286
19.0,186.81685158437458,1.0614856384306282,85.51228611643552,176.95475,78.4596882738934,0.0314009661836,0.736714975845
20.0,212.17955064961671,1.8484867242142515,83.92573227482437,187.4004375,84.92967928068916,0.0384057971014,0.724230072464
21.0,198.32598885098722,1.6408898437049984,77.2807604251968,171.82584375,76.25338433036573,0.0377746610566,0.659326788219
22.0,188.7982745416905,2.93966015399129,69.0628170580963,152.91325,74.01529105841809,0.0355877616747,0.728556092324
23.0,206.4234739909516,3.991242836912771,63.5243778553404,150.673984375,78.61527827177908,0.0396739130435,0.721256038647
24.0,215.78842691319062,3.5655736091658805,95.58890051773508,202.834484375,86.5577256881422,0.0294685990338,0.673510466989
25.0,202.69265650431612,4.236985883547275,93.10511098951264,192.82671875,82.98194212418376,0.0260869565217,0.719685990338
26.0,220.92073011483924,2.2802330842358387,72.34222756628859,179.038484375,80.60635982777785,0.0465320910973,0.664803312629
27.0,191.4913308769472,2.385732991252731,99.56097560690444,193.883390625,79.00033984309825,0.0264957264957,0.6331475288
28.0,223.95707137351792,3.2984477173957463,65.56119939211654,165.569703125,81.88908389906317,0.0462560386473,0.72059178744
29.0,194.4119034941496,3.686954339908452,89.51539013874263,182.573109375,80.37889089966426,0.0257971014493,0.74182194617
30.0,219.05669217442536,4.503285496455986,75.55831056583276,177.53675,81.15854510696964,0.0369047619048,0.657919254658
