model,sigma0,t,w,maxForce,meanForce,Damage,Plasticity
1.0,218.46011782961511,2.8617301768937446,65.0501231157855,161.973734375,80.68115993732047,0.0454106280193,0.723973429952
2.0,191.19568261936476,3.9843083542540865,63.7477098482999,143.659328125,75.35927404676106,0.0342391304348,0.730253623188
3.0,194.01813457125877,4.882200471773007,75.80758725929574,163.715890625,75.54229213256941,0.0307453416149,0.671739130435
4.0,187.15593571668518,2.6228519000847266,91.99441305969124,183.978453125,78.47033367560593,0.0272141706924,0.716183574879
5.0,223.08040422650384,3.957491811716912,98.34253649376498,209.1168125,86.33640544578554,0.0287113200157,0.632471602037
6.0,206.17173216214894,3.8934429483717907,71.75721967261838,166.401203125,78.25581930619617,0.0378881987578,0.688664596273
7.0,208.2536428890466,1.724199072741547,67.08836349144836,162.64134375,77.62072916144929,0.0469135802469,0.714170692432
8.0,213.60346297591545,3.607113037637295,93.27178704493025,199.50978125,85.86462982466576,0.0315619967794,0.690458937198
9.0,220.08766479162807,1.7060611307633617,95.44612500949333,206.582890625,86.41632538340771,0.0345867606737,0.648726987857
10.0,189.32087944793642,2.7952172737812306,80.13824892864754,169.184453125,74.97594874780717,0.0309957924264,0.678120617111
11.0,207.47780731798713,4.110548476440629,84.14981665609464,180.976625,82.16808156550887,0.0302536231884,0.701086956522
12.0,190.12085915940307,3.0313590102475687,67.35577403294688,152.75684375,75.40669514664124,0.0345507246377,0.737855072464
13.0,212.6037707810728,2.1267053730459136,72.59829373193784,173.8081875,79.38433669851437,0.0438405797101,0.663250517598
14.0,209.09409894475553,1.0240355244018593,60.849207099492304,152.782859375,77.7408626535418,0.0535628019324,0.720410628019
15.0,203.00799495167195,2.3270485842505515,77.86693318066135,174.081875,76.84184876174956,0.0350163627863,0.657597007948
16.0,190.2807080883191,1.8832396986853812,88.98072520700384,183.19321875,79.38858068079777,0.0313457556936,0.720621118012
17.0,219.58310726676675,4.273272890261561,74.8544629276028,177.999234375,81.37305116488167,0.0386128364389,0.659368530021
18.0,215.05837567501257,1.1265545065472176,79.53220446748911,184.425875,84.75524745515469,0.04375,0.708152173913
19.0,200.65626119496966,4.458108747424108,64.2583367988858,148.676484375,77.4444189678783,0.0363526570048,0.727355072464
20.0,216.4406576510944,3.321831668562137,80.61480580877347,182.381140625,82.10638390345524,0.0368863955119,0.66858345021
21.0,195.67124159677607,4.301609386203527,91.22767302688712,184.685734375,80.72765889129758,0.027701863354,0.712960662526
22.0,187.70797462139788,3.5027986125359427,80.88341984186762,168.565859375,74.96629609586098,0.0284712482468,0.677185600748
23.0,223.61306026588932,4.382636785427132,81.45232337769217,185.031703125,85.8755475507482,0.0355306217859,0.690416082281
24.0,217.38687221142607,4.777020644404042,69.11071912057032,166.50865625,81.61814890956828,0.0400579710145,0.723362318841
25.0,194.83023196515632,4.814244929943591,63.371054560787556,144.160046875,74.97732714707084,0.0349033816425,0.723188405797
26.0,201.40289049931178,2.933319247169478,66.10821253586388,155.164609375,77.0426935098268,0.04,0.731942028986
27.0,198.93128943939593,2.559692078249838,92.15344062839014,190.67884375,81.7291650119224,0.0291062801932,0.701046698873
28.0,193.39305506043954,1.27276797917584,97.59324117438776,195.329453125,79.60157820331149,0.0293942772204,0.645001858045
29.0,219.23979521033561,1.3439511293902564,74.1027478119393,181.080796875,80.17904872174464,0.0450274862569,0.652773613193
30.0,202.1196543982367,1.1830295998556832,75.34401394882417,171.95290625,77.36220089989556,0.0407796101949,0.65912043978
31.0,185.69814594250494,4.668435870727404,77.39016049819449,162.27475,73.61807211725396,0.0286356821589,0.673313343328
32.0,211.69562163859786,3.200842783388302,74.42672042536871,173.49996875,79.15671643156584,0.0396997929607,0.662629399586
33.0,195.20905850872072,1.3648480708889348,87.03110000093864,182.100734375,80.98901362461142,0.0329606625259,0.744265010352
34.0,204.29669919731933,4.590821994752598,61.96405388180773,146.584765625,77.41224275326752,0.0393824826717,0.71524889729
35.0,186.6931035408915,4.073433890422633,88.43218863613056,176.58921875,78.29327783150912,0.0247694334651,0.734519104084
36.0,192.87907688964182,2.0507709321008436,69.34873467871209,157.538140625,74.58621403548594,0.0378421900161,0.731186258722
37.0,200.33535829960294,1.0799392892510513,69.7779249702395,162.927765625,76.9305791015563,0.0435300207039,0.697567287785
38.0,206.89668540730364,1.614481523556672,92.61081815249538,201.542640625,83.99080795530385,0.0351449275362,0.675724637681
39.0,204.74052177413353,4.551681024346959,95.89232774611102,197.896875,83.0450986427643,0.0257246376812,0.676207729469
40.0,214.79782072055335,3.791826136498213,84.76859133872057,188.473328125,84.97812941954182,0.0332427536232,0.72196557971
41.0,222.71777637026162,3.7541456373660917,65.67484492797897,164.384265625,81.79018661860549,0.0446859903382,0.721678743961
42.0,203.97573913990456,3.553661010525102,94.21050191374466,195.575046875,82.83783781471509,0.0286231884058,0.683574879227
43.0,196.13163200338457,2.431751681143171,88.37533734730845,183.95571875,81.0330181902538,0.031718426501,0.732960662526
44.0,216.89730171571003,2.7391084075403436,93.67836180699105,200.96903125,86.66635273768426,0.033655394525,0.674355877617
45.0,213.31732915852714,3.1486007505045475,60.555680651228876,150.586359375,78.16476799997045,0.0475845410628,0.698671497585
46.0,206.46288728784947,1.560566594731574,83.56033224576777,184.305171875,83.02112600606368,0.0382699275362,0.725317028986
47.0,203.78063548507427,4.511859552544319,61.41252357199191,145.081640625,77.0323580599372,0.0383742911153,0.711594202899
48.0,224.60534486955208,1.4228262390304618,96.7898549627378,211.231515625,88.05275206254437,0.0363062058714,0.639985135637
49.0,214.11509443295157,3.663789065494216,64.66125778696318,157.44240625,79.98508903516931,0.0432367149758,0.724456521739
50.0,199.50277554135369,2.26943150632421,85.89021904321551,182.769484375,80.96728624742748,0.0336407553799,0.70992534036
51.0,210.7538892956647,3.3791147726367754,60.27122768399471,148.3525,78.08679069877287,0.0450535601764,0.699810964083
52.0,197.18891683712013,2.679030820964553,78.28506668092407,171.075875,76.0121804542586,0.0346423562412,0.659747545582
53.0,222.5383232708777,1.3107272635960614,71.1569623163443,179.277609375,80.7594646525004,0.0493788819876,0.664855072464
54.0,217.89211617744698,3.847091762574523,91.03702263752325,196.953796875,87.36426030127538,0.0292753623188,0.722360248447
55.0,196.8630886785085,2.706330093042533,82.98809342820914,175.891328125,79.1598213533535,0.0300724637681,0.697735507246
56.0,198.13425065155258,3.5968914027485988,94.6726790362268,194.950515625,81.48214092248507,0.027616747182,0.685668276973
57.0,212.28591870070443,4.213270335128492,99.0973088487443,203.042578125,84.79109464551792,0.0269044964697,0.648829431438
58.0,207.16327871439046,4.871699877548856,85.37545846449969,183.137234375,82.4672113004278,0.0291666666667,0.704302536232
59.0,190.7863240586658,4.141622636425328,81.84583335997826,170.6840625,77.12703409607768,0.0283967391304,0.686639492754
60.0,199.1639051904056,4.955738843333291,70.17993369430619,157.68925,75.69771043027617,0.0329039184112,0.720128824477
61.0,188.71082231699287,1.9699790887468587,70.776842609046,156.5076875,73.14931496752219,0.0408902691511,0.691511387164
62.0,214.48610616561228,3.707344619278857,90.48966929625703,194.9993125,86.21644344354551,0.0319254658385,0.723395445135
63.0,194.3524187350861,1.7608094718088125,72.26813255329606,163.733609375,75.1207558606654,0.0398550724638,0.687370600414
64.0,210.23181592266513,1.4787167051778478,65.20065255059198,161.210640625,78.64553754800801,0.0493913043478,0.71947826087
65.0,191.9914104135322,4.010683308836114,84.99271353839197,175.134546875,78.53245461984787,0.0250905797101,0.703759057971
66.0,188.05981101535346,3.2663346322917075,99.45367999571423,192.635375,78.04091448380034,0.025232255667,0.65436640654
67.0,186.5373998209289,1.939541958518006,73.81383916533798,161.537671875,74.00665412606537,0.0364906832298,0.685403726708
68.0,196.4468333269206,4.731287731509454,87.48821327017123,179.901015625,80.21308445560099,0.0263943785683,0.72665788318
69.0,188.257892152133,4.9655774488132085,89.61232874272513,176.93875,78.32096010233332,0.0234782608696,0.723726708075
70.0,209.88816102776002,3.190186066625227,62.611862422992154,152.150625,79.20823128741418,0.0440821256039,0.714009661836
71.0,220.7209396721904,4.3520105613892675,62.10282523961569,154.29903125,79.46070726593268,0.0475241545894,0.698490338164
72.0,202.74864274830225,2.8243471246204495,79.9951105367545,175.048125,79.4337462290948,0.0339410939691,0.687517531557
73.0,189.65423698274225,1.8177750100516308,97.72112581070039,193.105671875,78.56324680576137,0.0280564845782,0.64801189149
74.0,191.79665028985005,2.396959983535014,78.48190525149961,168.284765625,75.12661913121188,0.0340345956054,0.662786348761
75.0,221.15312809344158,2.021956272756745,86.02718933644266,194.7986875,87.31502517337748,0.0398331137462,0.731927975406
76.0,221.4850078636532,2.22606548811849,82.04854224843226,187.849546875,86.74145483824321,0.0397644927536,0.717028985507
77.0,197.50744568879682,4.69716280078336,68.21680545578847,153.702859375,76.12774916914645,0.0339130434783,0.736927536232
78.0,198.2959951396394,2.1946210868491236,86.76851358759404,182.3864375,81.5205880450864,0.0293581780538,0.744099378882
79.0,201.10996941514807,2.457499333366422,82.4796826464781,177.791453125,80.16481848310302,0.0331974637681,0.695606884058
80.0,220.3525377488835,2.1125707117414105,98.64303733576692,210.543640625,86.27279042169314,0.0329245633593,0.629357116314
81.0,193.56866582006845,1.844745425961678,96.19601373683838,196.218171875,79.48792188146274,0.0286329808069,0.659655307481
82.0,216.060125520332,2.8864350256435074,83.98196008628216,188.898703125,85.41711983776301,0.0356884057971,0.720380434783
83.0,212.03141172656655,3.822641749790859,67.77337569365272,163.154171875,79.94358912530933,0.0397101449275,0.727826086957
84.0,209.59232291697447,1.6725376632354183,79.17509373688263,178.891453125,80.6988981076006,0.0388134057971,0.672509057971
